Binomial,Area,FID_2,TID,Group,Value,area2
Acontias litoralis,27703.494115,"128",R07011,lizard,"1",27703.130
Acontias meleagris,145933.920581,"129",R07012,lizard,"1",145931.880
Acontias namaquensis,5436.282790,"130",R07013,lizard,"1",5436.355
Acontias occidentalis,482198.607099,"131",R07014,lizard,"1",482201.142
Acontias orientalis,34639.773795,"132",R07015,lizard,"1",34638.867
Acontias percivali,901709.390594,"133",R07016,lizard,"1",901695.975
Acontias plumbeus,324207.972489,"134",R07017,lizard,"1",324180.931
Acontias poecilus,7946.094323,"135",R07018,lizard,"1",7946.077
Acontias richardi,8050.254617,"136",R07019,lizard,"1",8050.213
Acontias rieppeli,39068.805804,"137",R07020,lizard,"1",39068.748
Acontias schmitzi,9.996281,"138",R07021,lizard,"1",9.996
Acontias tristis,31412.472571,"139",R07022,lizard,"1",31412.153
Acrantophis dumerili,242896.030478,"140",R00778,snake,"1",242879.811
Acrantophis madagascariensis,171891.131388,"141",R00779,snake,"1",171895.898
Acratosaura mentalis,530277.018704,"142",R04883,lizard,"1",530277.072
Acratosaura spinosa,125654.216200,"143",R04884,lizard,"1",125654.217
Acrochordus arafurae,689550.454364,"144",R00027,snake,"1",689582.698
Acrochordus granulatus,2579856.816447,"145",R00028,snake,"1",2579872.229
Acrochordus javanicus,1917165.717689,"146",R00029,snake,"1",1917165.695
Actinemys marmorata,463537.635391,"147",R09981,turtle,"1",463551.590
Acutotyphlops banaorum,4.435374,"148",R09122,snake,"1",4.435
Acutotyphlops infralabialis,10688.333030,"149",R09123,snake,"1",10688.326
Acutotyphlops kunuaensis,5157.574295,"150",R09124,snake,"1",5157.576
Acutotyphlops solomonis,4994.336641,"151",R09125,snake,"1",4994.330
Acutotyphlops subocularis,33827.813179,"152",R09126,snake,"1",33827.817
Adelophis copei,1388.352743,"153",R06353,snake,"1",1388.353
Adelophis foxi,848.786844,"154",R06354,snake,"1",848.787
Adelphicos daryi,9.996281,"155",R02625,snake,"1",9.996
Adelphicos ibarrorum,9.996281,"156",R02626,snake,"1",9.996
Adelphicos latifasciatum,1856.448997,"157",R02627,snake,"1",1856.443
Adelphicos nigrilatum,2721.114363,"158",R02628,snake,"1",2721.078
Adelphicos quadrivirgatum,191713.320075,"159",R02629,snake,"1",191714.919
Adelphicos veraepacis,5992.968124,"160",R02630,snake,"1",5991.754
Adercosaurus vixadnexus,9.996281,"161",R04885,lizard,"1",9.996
Adolfus africanus,931945.307700,"162",R05287,lizard,"1",931950.321
Adolfus alleni,18282.444744,"163",R05288,lizard,"1",18282.707
Adolfus jacksoni,383062.560226,"164",R05289,lizard,"1",383063.021
Adolfus masavaensis,1062.623221,"165",R05290,lizard,"1",1062.623
Aeluroglena cucullata,36010.798933,"166",R01072,snake,"1",36018.101
Aeluroscalabotes felinus,304433.434803,"167",R03732,lizard,"1",304433.566
Afroablepharus africanus,1005.246011,"168",R07023,lizard,"1",1005.246
Afroablepharus annobonensis,14.697131,"169",R07024,lizard,"1",14.697
Afroablepharus duruarum,12181.999135,"170",R07025,lizard,"1",12180.455
Afroablepharus maculicollis,853431.943318,"171",R07026,lizard,"1",853415.756
Afroablepharus seydeli,7606.343955,"172",R07027,lizard,"1",7606.369
Afroablepharus wahlbergi,3375958.617087,"173",R07028,lizard,"1",3375959.357
Afroablepharus wilsoni,49992.358077,"174",R07029,lizard,"1",49991.650
Afroedura africana,51503.394804,"175",R03768,lizard,"1",51503.239
Afroedura amatolica,16739.730885,"176",R03769,lizard,"1",16739.686
Afroedura bogerti,65894.177779,"177",R03770,lizard,"1",65894.187
Afroedura broadleyi,1917.917704,"178",R03771,lizard,"1",1920.629
Afroedura granitica,16.238188,"179",R03772,lizard,"1",16.238
Afroedura haackei,4786.212405,"180",R03773,lizard,"1",4786.228
Afroedura halli,31225.080384,"181",R03774,lizard,"1",31224.918
Afroedura hawequensis,12444.358240,"182",R03775,lizard,"1",12444.669
Afroedura karroica,33696.443693,"183",R03776,lizard,"1",33696.561
Afroedura langi,8380.964714,"184",R03777,lizard,"1",8381.080
Afroedura leoloensis,9.996281,"185",R03778,lizard,"1",9.996
Afroedura loveridgei,34745.115208,"186",R03779,lizard,"1",34744.115
Afroedura major,5165.403989,"187",R03780,lizard,"1",5165.431
Afroedura maripi,2781.015512,"188",R03781,lizard,"1",2780.512
Afroedura marleyi,26504.397655,"189",R03782,lizard,"1",26502.738
Afroedura multiporis,11039.989017,"190",R03783,lizard,"1",11040.143
Afroedura namaquensis,9021.292535,"191",R03784,lizard,"1",9021.334
Afroedura nivaria,542632.206491,"192",R03785,lizard,"1",542615.749
Afroedura pienaari,2453.057040,"193",R03786,lizard,"1",2449.768
Afroedura pondolia,40323.760215,"194",R03787,lizard,"1",40322.420
Afroedura pongola,9.996281,"195",R03788,lizard,"1",9.996
Afroedura rondavelica,700.978966,"196",R03789,lizard,"1",700.979
Afroedura rupestris,9.996281,"197",R03790,lizard,"1",9.996
Afroedura tembulica,9355.041949,"198",R03791,lizard,"1",9354.940
Afroedura tirasensis,9859.269928,"199",R03792,lizard,"1",9859.303
Afroedura transvaalica,360008.621688,"200",R03793,lizard,"1",359996.566
Afroedura waterbergensis,9.996281,"201",R03794,lizard,"1",9.996
Afrogecko ansorgii,2216.203230,"202",R03795,lizard,"1",2216.238
Afrogecko porphyreus,79793.880821,"203",R03796,lizard,"1",79791.928
Afronatrix anoscopus,2393831.958420,"204",R06355,snake,"1",2394401.424
Afrotyphlops angolensis,4041757.052814,"205",R09128,snake,"1",4042131.419
Afrotyphlops anomalus,214595.945969,"206",R09129,snake,"1",214598.517
Afrotyphlops bibronii,526277.856232,"207",R09130,snake,"1",526256.018
Afrotyphlops blanfordii,459654.608385,"208",R09131,snake,"1",459654.609
Afrotyphlops brevis,107205.810937,"209",R09132,snake,"1",107207.965
Afrotyphlops congestus,2337350.206494,"210",R09133,snake,"1",2337600.917
Afrotyphlops decorosus,4473.993476,"211",R09134,snake,"1",4474.017
Afrotyphlops elegans,189.540506,"212",R09135,snake,"1",189.540
Afrotyphlops fornasinii,84927.734606,"213",R09136,snake,"1",84914.244
Afrotyphlops gierrai,9226.002005,"214",R09137,snake,"1",9226.025
Afrotyphlops kaimosae,763.805570,"215",R09138,snake,"1",763.807
Afrotyphlops liberiensis,204400.986518,"216",R09139,snake,"1",204410.198
Afrotyphlops lineolatus,5139037.095872,"217",R09140,snake,"1",5141690.183
Afrotyphlops manni,119.794880,"218",R09141,snake,"1",119.795
Afrotyphlops mucruso,3739105.316408,"219",R09142,snake,"1",3739164.725
Afrotyphlops nanus,762.048773,"220",R09143,snake,"1",762.050
Afrotyphlops nigrocandidus,3784.858890,"221",R09144,snake,"1",3784.865
Afrotyphlops obtusus,80608.842686,"222",R09145,snake,"1",80612.629
Afrotyphlops punctatus,3268770.040094,"223",R09146,snake,"1",3268758.694
Afrotyphlops rondoensis,5425.798537,"224",R09147,snake,"1",5425.819
Afrotyphlops schlegelii,939512.507628,"225",R09148,snake,"1",939541.371
Afrotyphlops schmidti,1187253.660795,"226",R09149,snake,"1",1187350.533
Afrotyphlops steinhausi,525694.725516,"227",R09150,snake,"1",525772.970
Afrotyphlops tanganicanus,42438.276658,"228",R09151,snake,"1",42438.273
Afrotyphlops usambaricus,3352.653298,"229",R09152,snake,"1",3352.679
Agama aculeata,3142594.508168,"230",R00048,lizard,"1",3142592.427
Agama africana,541718.192680,"231",R00049,lizard,"1",541724.416
Agama agama,9847595.751208,"232",R00050,lizard,"1",9847758.064
Agama anchietae,643487.491557,"233",R00051,lizard,"1",643482.129
Agama armata,2001854.911455,"234",R00052,lizard,"1",2001851.892
Agama atra,981427.393061,"235",R00053,lizard,"1",981414.601
Agama bocourti,12373.160839,"236",R00054,lizard,"1",12373.077
Agama boensis,112887.386353,"237",R00055,lizard,"1",112893.381
Agama bottegi,19.992561,"238",R00056,lizard,"1",19.993
Agama boueti,2343867.981971,"239",R00057,lizard,"1",2343846.904
Agama boulengeri,348307.980886,"240",R00058,lizard,"1",348309.732
Agama caudospinosa,38799.586119,"241",R00059,lizard,"1",38799.616
Agama congica,198479.353313,"242",R00060,lizard,"1",198479.342
Agama cristata,49565.633810,"243",R00061,lizard,"1",49565.838
Agama doriae,2608695.912838,"244",R00062,lizard,"1",2608728.096
Agama etoshae,69404.816079,"245",R00063,lizard,"1",69405.213
Agama finchi,21801.156151,"246",R00064,lizard,"1",21801.157
Agama gracilimembris,1685595.532784,"247",R00065,lizard,"1",1685631.478
Agama hartmanni,480590.757428,"248",R00066,lizard,"1",480587.425
Agama hispida,176470.138934,"249",R00067,lizard,"1",176465.146
Agama hulbertorum,2715.231361,"250",R00068,lizard,"1",2715.231
Agama impalearis,968863.354015,"251",R00069,lizard,"1",968854.070
Agama insularis,55252.220186,"252",R00070,lizard,"1",55257.847
Agama kaimosae,31393.664923,"253",R00071,lizard,"1",31394.458
Agama kirkii,1011749.105512,"254",R00072,lizard,"1",1011201.677
Agama knobeli,76066.926136,"255",R00073,lizard,"1",76059.198
Agama lanzai,9.996281,"256",R00074,lizard,"1",9.996
Agama lebretoni,231205.613428,"257",R00075,lizard,"1",231221.198
Agama lionotus,742107.482872,"258",R00076,lizard,"1",742112.381
Agama lucyae,19.992561,"259",R00077,lizard,"1",19.993
Agama makarikarika,49200.132864,"260",R00078,lizard,"1",49199.791
Agama montana,22699.514842,"261",R00080,lizard,"1",22699.647
Agama mossambica,748583.785767,"262",R00081,lizard,"1",748582.401
Agama mucosoensis,39197.624744,"263",R00082,lizard,"1",39197.780
Agama mwanzae,199488.833957,"264",R00083,lizard,"1",199491.900
Agama parafricana,68898.650781,"265",R00084,lizard,"1",68898.971
Agama paragama,1794487.403956,"266",R00085,lizard,"1",1794534.750
Agama persimilis,77167.638965,"267",R00086,lizard,"1",77168.824
Agama planiceps,563848.924129,"268",R00087,lizard,"1",563848.123
Agama robecchii,298656.480717,"269",R00088,lizard,"1",298660.388
Agama rueppelli,654486.276458,"270",R00089,lizard,"1",654490.964
Agama sankaranica,1644149.104998,"271",R00090,lizard,"1",1644183.663
Agama somalica,29.988842,"272",R00091,lizard,"1",29.989
Agama spinosa,1314005.370777,"273",R00092,lizard,"1",1313957.522
Agama sylvana,871579.634941,"274",R00093,lizard,"1",871617.854
Agama tassiliensis,1310061.515464,"275",R00094,lizard,"1",1310053.192
Agama turuensis,5728.333798,"276",R00095,lizard,"1",5728.600
Agama weidholzi,532329.049655,"277",R00096,lizard,"1",532333.977
Agamodon anguliceps,201432.632973,"278",R08955,worm lizard,"1",201434.060
Agamodon arabicus,16054.337646,"279",R08956,worm lizard,"1",16054.335
Agamodon compressus,18958.002001,"280",R08957,worm lizard,"1",18959.037
Agkistrodon bilineatus,51747.841938,"282",R09516,snake,"1",51751.000
Agkistrodon contortrix,2315993.418050,"283",R09517,snake,"1",2316041.563
Agkistrodon howardgloydi,19296.026353,"284",R09518,snake,"1",19296.346
Agkistrodon piscivorus,1501974.060132,"285",R09519,snake,"1",1502018.581
Agkistrodon russeolus,17965.353926,"286",R09520,snake,"1",17969.770
Agkistrodon taylori,71605.915290,"287",R09521,snake,"1",71607.136
Ahaetulla dispar,29884.090804,"288",R01073,snake,"1",29884.048
Ahaetulla fasciolata,1378766.594064,"289",R01074,snake,"1",1378766.695
Ahaetulla fronticincta,88199.754459,"290",R01075,snake,"1",88223.986
Ahaetulla mycterizans,331507.543534,"291",R01076,snake,"1",331508.165
Ahaetulla nasuta,2239794.096205,"292",R01077,snake,"1",2239839.858
Ahaetulla perroteti,1694.799945,"293",R01078,snake,"1",1694.801
Ahaetulla prasina,4694516.165343,"294",R01079,snake,"1",4694733.897
Ahaetulla pulverulenta,216657.147814,"295",R01080,snake,"1",216658.403
Ailuronyx seychellensis,232.573453,"296",R03798,lizard,"1",232.573
Ailuronyx tachyscopaeus,228.293369,"297",R03799,lizard,"1",228.293
Ailuronyx trachygaster,66.915223,"298",R03800,lizard,"1",66.915
Aldabrachelys gigantea,164.632150,"299",R10156,turtle,"1",164.632
Alexandresaurus camacan,66269.256313,"300",R04886,lizard,"1",66269.259
