Species,Order,Family,Genus,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Diet ,Active time,Foraging mode,Maximum Longevity (years),Maximum body mass (g),"Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb
Cyrtodactylus hutchinsoni,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus huynhi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Subterranean,70,300,NA,Nocturnal,NA,NA,10.2,62.2,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus ingeri,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,420,800,NA,Nocturnal,NA,NA,10.5,NA,NA,NA,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus interdigitalis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Forest/Subterranean,600,720,Carnivorous,Nocturnal,NA,NA,10.2,NA,NA,NA,NA,oviparous,1.0,1,1,NA,NA,NA,NA,NA,NA
Cyrtodactylus intermedius,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest/Wetlands,220,1100,Carnivorous,Nocturnal,NA,NA,15.1,81.6,NA,34.5,NA,oviparous,1.9,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus inthanon,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Wetlands,NA,NA,Carnivorous,Nocturnal,NA,NA,13.2,85.1,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus irianjayaensis,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,NA,NA,NA,NA,NA,NA,85.1,150.9,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus irregularis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,NA,NA,NA,Nocturnal,NA,NA,14.1,80.5,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus irulaorum,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus jaegeri,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest/Rocky,NA,NA,NA,Nocturnal,NA,NA,6.8,68.5,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus jaintiaensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest/Rocky,NA,NA,NA,NA,NA,NA,17.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus jambangan,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,750,760,NA,Nocturnal,NA,NA,10.7,71.1,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus jarakensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest/Rocky,NA,NA,NA,Nocturnal,NA,NA,6.3,67,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus jarujini,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,NA,NA,Carnivorous,Nocturnal,NA,NA,14.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus jatnai,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus jelawangensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky/Wetlands,450,470,NA,Nocturnal,NA,NA,31.6,106.2,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus jellesmae,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,124,556,NA,Nocturnal,NA,NA,10.0,75.5,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus jeyporensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,Forest,1200,1300,NA,Cathemeral,NA,NA,4.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kamengensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kapitensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus karsticolus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kazirangaensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus khammouanensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Rocky,NA,NA,NA,Nocturnal,NA,NA,7.9,70.3,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus khasiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest/Rocky,NA,NA,Carnivorous,Nocturnal,NA,NA,14.1,NA,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus khelangensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Subterranean,NA,NA,Carnivorous,Nocturnal,NA,NA,16.6,95.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kimberleyensis,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal/Terrestrial,Shrubland,NA,NA,NA,NA,NA,NA,2.1,45.1,NA,NA,NA,oviparous,1.0,1,1,NA,NA,NA,NA,NA,NA
Cyrtodactylus kingsadai,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Shrubland,50,100,NA,Nocturnal,NA,NA,16.2,93,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus klugei,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,0,130,NA,Nocturnal,NA,NA,51.3,143,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kochangensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kohrongensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kulenensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus kunyai,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Subterranean,NA,NA,NA,Nocturnal,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus laangensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,11.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus laevigatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,20,700,Carnivorous,Nocturnal,NA,NA,2.3,43.9,NA,25,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus langkawiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,30,40,NA,Nocturnal,NA,NA,19.1,96.1,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus lateralis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest/Wetlands,680,1070,NA,Nocturnal,NA,NA,17.0,86.5,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus lawderanus,Squamata,Gekkonidae,Cyrtodactylus,Saharo-Sindian,Terrestrial,NA,NA,NA,Carnivorous,Nocturnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus leegrismeri,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest/Rocky,NA,NA,NA,Nocturnal,NA,NA,15.1,90,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus lekaguli,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Forest/Subterranean,180,190,NA,Nocturnal,NA,NA,20.9,91.3,NA,38,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus lenggongensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Rocky/Subterranean,NA,NA,NA,Nocturnal,NA,NA,20.9,88.6,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus lenya,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest/Rocky,NA,NA,NA,NA,NA,NA,8.3,69.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus limajalur,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus linnoensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,20,30,NA,Nocturnal,NA,NA,9.5,76.8,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus linnwayensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,1130,1140,NA,Nocturnal,NA,NA,20.0,98.9,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus lomyenensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Caves/Forest/Subterranean,150,200,NA,Nocturnal,NA,NA,7.4,68.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus loriae,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,NA,NA,Carnivorous,Nocturnal,ACT,NA,64.6,129.5,NA,48,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus louisiadensis,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,130,400,Carnivorous,Nocturnal,ACT,NA,41.7,125.5,NA,64,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus lungleiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus macrotuberculatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Caves/Forest/Rocky/Subterranean,0,800,NA,Nocturnal,NA,NA,31.6,113,NA,44.5,NA,oviparous,1.8,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus maelanoi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus majulah,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,56,210,NA,Nocturnal,NA,NA,6.8,62.8,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus malayanus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,140,942,NA,Nocturnal,AMB,NA,30.2,107.7,NA,NA,NA,oviparous,2.0,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus mamanwa,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,NA,NA,NA,Nocturnal,NA,NA,15.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus mandalayensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,NA,NA,NA,NA,NA,Nocturnal,NA,NA,5.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus manos,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus markuscombaii,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,1200,1300,NA,Nocturnal,NA,NA,7.8,70,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus marmoratus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,0,1500,Carnivorous,Nocturnal,NA,3.1,12.3,77.4,NA,28,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus martini,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest/Rocky,NA,NA,NA,Nocturnal,NA,NA,17.0,80.3,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus martinstolli,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,1200,1300,NA,Nocturnal,NA,NA,11.0,70,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,15.0,NA,NA
Cyrtodactylus matsuii,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,900,1600,Carnivorous,Nocturnal,NA,NA,21.9,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus mcdonaldi,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal/Saxicolous,Forest/Rocky/Savanna/Wetlands,NA,NA,Carnivorous,Nocturnal,NA,10.0,21.9,90.1,NA,39.5,NA,oviparous,2.0,2,2,4.0,NA,NA,NA,NA,NA
Cyrtodactylus medioclivus,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,1060,1400,NA,NA,NA,NA,20.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus meersi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus menglianensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus metropolis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,70,80,NA,Nocturnal,NA,NA,11.0,72.9,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus mimikanus,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,100,250,NA,NA,NA,NA,20.9,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus minor,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,200,300,NA,Nocturnal,NA,NA,7.8,71.3,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus miriensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus mombergi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,NA,290,1070,NA,NA,NA,NA,8.3,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus monilatus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus montanus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,600,920,NA,NA,NA,NA,9.8,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus muangfuangensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus multiporus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,NA,NA,NA,Nocturnal,NA,NA,18.2,86.4,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus muluensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus murua,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,0,10,NA,NA,NA,NA,26.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus myaleiktaung,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus myintkyawthurai,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,NA,160,980,NA,NA,NA,NA,8.7,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus nagalandensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus namtiram,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus naungkayaingensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,NA,10,20,NA,NA,NA,NA,6.3,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus nebulosus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,Forest,50,1300,Carnivorous,Nocturnal,NA,NA,3.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus nepalensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous/Terrestrial,NA,740,750,Carnivorous,Nocturnal,AMB,NA,7.9,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus ngati,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus ngoiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus ngopensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus nicobaricus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus nigriocularis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Subterranean,291,596,NA,Nocturnal,NA,NA,23.4,94.6,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus novaeguineae,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,0,1200,NA,Nocturnal,NA,NA,38.9,NA,NA,57.6,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus nuaulu,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,NA,NA,NA,Nocturnal,NA,NA,13.5,82.7,NA,35.7,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus nyinyikyawi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Terrestrial,NA,130,140,NA,NA,NA,NA,5.6,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus oldhami,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,NA,NA,Carnivorous,Nocturnal,NA,NA,9.3,63,NA,27,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus orlovi,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus otai,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest/Rocky,980,1240,NA,Nocturnal,NA,NA,15.5,88.5,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus pageli,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Caves/Forest/Subterranean,260,300,NA,Nocturnal,NA,NA,13.8,73,NA,NA,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus pantiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest/Wetlands,NA,NA,NA,Nocturnal,NA,NA,9.3,69.7,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus papeda,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus papilionoides,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous/Terrestrial,Caves/Forest/Subterranean,400,420,Carnivorous,Nocturnal,NA,NA,15.5,NA,NA,34.5,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus papuensis,Squamata,Gekkonidae,Cyrtodactylus,Australo-Pacific,Arboreal,Forest,0,600,NA,NA,NA,NA,7.1,NA,NA,36,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus paradoxus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,181,438,NA,Nocturnal,NA,NA,11.7,70.4,NA,28,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus payacola,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal,Forest,0,50,NA,Nocturnal,NA,NA,6.5,66.7,NA,NA,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus payarhtanensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,Forest/Rocky,NA,NA,NA,NA,NA,NA,11.5,78.5,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus peguensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Terrestrial,Forest,667,832,Carnivorous,Nocturnal,NA,NA,12.3,NA,NA,29,NA,oviparous,1.5,1,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus petani,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,NA,80,330,NA,Nocturnal,NA,NA,4.1,67.2,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus pharbaungensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,NA,40,50,NA,NA,NA,NA,7.2,NA,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus phetchaburiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous,Forest,NA,NA,NA,Nocturnal,NA,NA,5.4,63.2,NA,NA,NA,oviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtodactylus philippinicus,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Arboreal/Saxicolous/Terrestrial,Forest,0,1200,Carnivorous,Nocturnal,NA,NA,17.8,80.4,NA,33.1,NA,oviparous,2.0,2,2,NA,NA,NA,NA,NA,NA
Cyrtodactylus phnomchiensis,Squamata,Gekkonidae,Cyrtodactylus,Oriental,Saxicolous,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
