Binomial,Area,FID_2,TID,Group,Value,area
Amphiglossus stylus,2121.925531,445,R07055,lizard,1,2121925598
Amphiglossus tanysoma,11196.50791,446,R07056,lizard,1,11197114195
Amphiglossus tsaratananensis,1912.389887,447,R07057,lizard,1,1912408567
Amphiglossus valhallae,3.473275,448,R07058,lizard,1,3473274.425
Anadia altaserrania,573.811792,558,R04895,lizard,1,573809608
Anadia antioquensis,1430.592866,559,R04896,lizard,1,1430609572
Anadia bitaeniata,4899.818566,560,R04897,lizard,1,4899518246
Anadia blakei,3667.177708,561,R04898,lizard,1,3666964456
Anadia bogotensis,16797.53554,562,R04899,lizard,1,16797538589
Anadia brevifrontalis,4600.962208,563,R04900,lizard,1,4600962164
Anadia bumanguesa,348.812793,564,R04901,lizard,1,348811992.4
Anadia escalerae,19805.01446,565,R04902,lizard,1,19802556553
Anadia hobarti,19.992561,566,R04903,lizard,1,19992561.35
Anadia marmorata,5619.713791,567,R04904,lizard,1,5619176380
Anadia mcdiarmidi,2597.524329,568,R04905,lizard,1,2597524344
Anadia ocellata,31315.68991,569,R04906,lizard,1,31315707155
Anadia pamplonensis,3659.438615,570,R04907,lizard,1,3659477066
Anadia pariaensis,19.992561,571,R04908,lizard,1,19992561.34
Anadia petersi,48850.09046,572,R04909,lizard,1,48851352352
Anadia pulchella,10173.25893,573,R04910,lizard,1,10173262334
Anadia rhombifera,126751.9922,574,R04911,lizard,1,1.26753E+11
Anadia steyeri,19.992561,575,R04912,lizard,1,19992561.35
Anadia vittata,37438.24856,576,R04913,lizard,1,37439100864
Anatololacerta anatolica,75665.41768,577,R05295,lizard,1,75666745320
Anatololacerta budaki,20551.0004,578,R05296,lizard,1,20556668974
Anatololacerta danfordi,58544.96422,579,R05297,lizard,1,58546403930
Anatololacerta pelasgiana,27755.96247,580,R05298,lizard,1,27757211632
Androngo trivittatus,22581.05161,584,R07059,lizard,1,22580694423
Anelytropsis papillosus,16874.3181,585,R02414,lizard,1,16873063378
Anepischetosia maccoyi,86393.34372,586,R07060,lizard,1,86390128738
Anguis cephallonica,22894.1999,587,R00695,lizard,1,22894204751
Anguis fragilis,2507794.509,589,R00697,lizard,1,2.50766E+12
Anguis graeca,142022.9577,590,R00698,lizard,1,1.42033E+11
Anguis incomptus,4768.525861,591,R00699,lizard,1,4754734922
Anguis veronensis,295700.3737,592,R00700,lizard,1,2.95718E+11
Anisolepis grilli,654349.3544,636,R05905,lizard,1,6.54339E+11
Anisolepis longicauda,6234.582376,637,R05906,lizard,1,6234580716
Anisolepis undulatus,92459.78816,638,R05907,lizard,1,92457105682
Anniella alexanderae,138.819282,639,R00741,lizard,1,138819017.5
Anniella campi,503.07203,640,R00742,lizard,1,503075197.3
Anniella geronimensis,3520.649446,641,R00743,lizard,1,3520675429
Anniella grinnelli,71.67072,642,R00744,lizard,1,71671255.22
Anniella pulchra,135562.3036,643,R00745,lizard,1,1.35562E+11
Anniella stebbinsi,45455.54533,644,R00746,lizard,1,45467693458
Anolis acutus,220.247461,645,R02015,lizard,1,220247362.6
Anolis aeneus,39598.49122,646,R02016,lizard,1,39598445548
Anolis aequatorialis,107579.2184,647,R02017,lizard,1,1.07581E+11
Anolis agassizi,7.656224,648,R02018,lizard,1,7656221.061
Anolis agueroi,19.992561,649,R02019,lizard,1,19992561.35
Anolis ahli,1237.309672,650,R02020,lizard,1,1237311530
Anolis alayoni,7079.276569,651,R02021,lizard,1,7079276343
Anolis alfaroi,9.996281,652,R02022,lizard,1,9996280.673
Anolis aliniger,23698.3902,653,R02023,lizard,1,23698389964
Anolis allisoni,72756.65454,654,R02024,lizard,1,72756650929
Anolis allogus,78010.74144,655,R02025,lizard,1,78010741190
Anolis alocomyos,703.068838,656,R02026,lizard,1,703066143.5
Anolis altae,15210.48022,657,R02027,lizard,1,15210491147
Anolis altavelensis,1.684708,658,R02028,lizard,1,1684703.528
Anolis altitudinalis,9.996281,659,R02029,lizard,1,9996280.675
Anolis alumina,4101.496823,660,R02030,lizard,1,4101502285
Anolis alutaceus,72763.46932,661,R02031,lizard,1,72763467430
Anolis alvarezdeltoroi,956.623703,662,R02032,lizard,1,956619458.9
Anolis amplisquamosus,324.102339,663,R02033,lizard,1,324102138.2
Anolis anatoloros,1503.561698,664,R02034,lizard,1,1503561436
Anolis anchicayae,88886.80773,665,R02035,lizard,1,88886817880
Anolis anfiloquioi,8657.258551,666,R02036,lizard,1,8657258739
Anolis angusticeps,107239.5112,667,R02037,lizard,1,1.0724E+11
Anolis anisolepis,5375.042342,668,R02038,lizard,1,5374011721
Anolis annectens,17460.3734,669,R02039,lizard,1,17455677197
Anolis anoriensis,2583.047747,670,R02040,lizard,1,2583047771
Anolis antioquiae,4125.204185,671,R02041,lizard,1,4125204216
Anolis antonii,55974.68391,672,R02042,lizard,1,55974683934
Anolis apletophallus,28918.38889,673,R02043,lizard,1,28918378331
Anolis apollinaris,70586.32989,674,R02044,lizard,1,70586370542
Anolis aquaticus,10735.06394,675,R02045,lizard,1,10735094485
Anolis argenteolus,35900.91157,676,R02046,lizard,1,35900909930
Anolis argillaceus,25444.53066,677,R02047,lizard,1,25444530393
Anolis armouri,5769.647986,678,R02048,lizard,1,5769649021
Anolis auratus,3225389.769,679,R02049,lizard,1,3.22539E+12
Anolis bahorucoensis,3417.648114,680,R02050,lizard,1,3417647496
Anolis baleatus,26891.4308,681,R02051,lizard,1,26891429904
Anolis baracoae,1761.099615,682,R02052,lizard,1,1761099620
Anolis barahonae,2978.380985,683,R02053,lizard,1,2978380114
Anolis barbatus,1545.869285,684,R02054,lizard,1,1545868752
Anolis barbouri,12038.32736,685,R02055,lizard,1,12038326676
Anolis barkeri,39321.52483,686,R02056,lizard,1,39321500401
Anolis bartschi,3525.400569,687,R02057,lizard,1,3525400062
Anolis beckeri,138586.7499,688,R02058,lizard,1,1.38587E+11
Anolis bellipeniculus,9.996281,689,R02059,lizard,1,9996280.673
Anolis benedikti,2335.192579,690,R02060,lizard,1,2335189483
Anolis bicaorum,41.53857,691,R02061,lizard,1,41538550.44
Anolis bimaculatus,298.22394,692,R02062,lizard,1,298223610.6
Anolis binotatus,57752.1235,693,R02063,lizard,1,57752123198
Anolis biporcatus,544162.1699,694,R02064,lizard,1,5.44162E+11
Anolis birama,9.996281,695,R02065,lizard,1,9996280.673
Anolis bitectus,59497.42386,696,R02066,lizard,1,59498717540
Anolis blanquillanus,65.314472,697,R02067,lizard,1,65314588.22
Anolis boettgeri,132582.0356,698,R02068,lizard,1,1.32585E+11
Anolis bombiceps,384166.3433,699,R02069,lizard,1,3.84175E+11
Anolis bonairensis,43.651335,700,R02070,lizard,1,43651335.15
Anolis boulengerianus,1950.706087,701,R02071,lizard,1,1950706652
Anolis brasiliensis,489747.3325,702,R02072,lizard,1,4.89745E+11
Anolis bremeri,5938.340646,703,R02073,lizard,1,5938336483
Anolis breslini,9.996281,704,R02074,lizard,1,9996280.673
Anolis brevirostris,17824.3678,705,R02075,lizard,1,17824365736
